#clusters, noises, rand index
2,19,0.512156
#clusters, noises, rand index
2,19,0.509871
#clusters, noises, rand index
2,19,0.507332
#clusters, noises, rand index
2,19,0.510252
#clusters, noises, rand index
2,19,0.509236
#clusters, noises, rand index
2,19,0.513299
#clusters, noises, rand index
2,19,0.514696
#clusters, noises, rand index
2,19,0.507205
#clusters, noises, rand index
2,19,0.510379
#clusters, noises, rand index
2,19,0.517235
