#clusters, noises, rand index
3,34,0.598747
#clusters, noises, rand index
3,34,0.59302
#clusters, noises, rand index
3,34,0.591588
#clusters, noises, rand index
3,34,0.595526
#clusters, noises, rand index
3,34,0.6017
#clusters, noises, rand index
3,34,0.595168
#clusters, noises, rand index
3,34,0.596957
#clusters, noises, rand index
3,34,0.592841
#clusters, noises, rand index
3,34,0.595526
#clusters, noises, rand index
3,34,0.593199
