#clusters, noises, rand index
3,34,0.592304
#clusters, noises, rand index
3,34,0.598747
#clusters, noises, rand index
3,34,0.590694
#clusters, noises, rand index
3,34,0.596152
#clusters, noises, rand index
3,34,0.600089
#clusters, noises, rand index
3,34,0.601163
#clusters, noises, rand index
3,34,0.596242
#clusters, noises, rand index
3,34,0.59302
#clusters, noises, rand index
3,34,0.594094
#clusters, noises, rand index
3,34,0.594273
