#clusters, noises, rand index
2,26,0.419244
#clusters, noises, rand index
2,26,0.409767
#clusters, noises, rand index
2,26,0.43504
#clusters, noises, rand index
2,26,0.410294
#clusters, noises, rand index
2,26,0.410381
#clusters, noises, rand index
2,26,0.413277
#clusters, noises, rand index
2,26,0.409592
#clusters, noises, rand index
2,26,0.419332
#clusters, noises, rand index
2,26,0.406608
#clusters, noises, rand index
2,26,0.441797
