#clusters, noises, rand index
2,19,0.51787
#clusters, noises, rand index
2,19,0.509236
#clusters, noises, rand index
2,19,0.504666
#clusters, noises, rand index
2,19,0.508475
#clusters, noises, rand index
2,19,0.510125
#clusters, noises, rand index
2,19,0.507078
#clusters, noises, rand index
2,19,0.515584
#clusters, noises, rand index
2,19,0.504666
#clusters, noises, rand index
2,19,0.508982
#clusters, noises, rand index
2,19,0.510506
