#clusters, noises, rand index
1,24,0.447966
#clusters, noises, rand index
1,24,0.473005
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.473005
#clusters, noises, rand index
1,24,0.473005
#clusters, noises, rand index
1,24,0.504304
#clusters, noises, rand index
1,24,0.473005
#clusters, noises, rand index
1,24,0.473005
#clusters, noises, rand index
1,24,0.504304
#clusters, noises, rand index
1,24,0.459703
