#clusters, noises, rand index
1,255,0.481689
#clusters, noises, rand index
1,255,0.48086
#clusters, noises, rand index
1,255,0.483422
#clusters, noises, rand index
1,255,0.481689
#clusters, noises, rand index
1,255,0.494721
#clusters, noises, rand index
1,255,0.492444
#clusters, noises, rand index
1,255,0.492444
#clusters, noises, rand index
1,255,0.48086
#clusters, noises, rand index
1,255,0.488187
#clusters, noises, rand index
1,255,0.491343
