#clusters, noises, rand index
2,26,0.409504
#clusters, noises, rand index
2,26,0.403098
#clusters, noises, rand index
2,26,0.392304
#clusters, noises, rand index
2,26,0.399149
#clusters, noises, rand index
2,26,0.413102
#clusters, noises, rand index
1,40,0.423149
#clusters, noises, rand index
2,26,0.398535
#clusters, noises, rand index
2,26,0.414593
#clusters, noises, rand index
2,26,0.415032
#clusters, noises, rand index
2,26,0.421789
