#clusters, noises, rand index
1,35,0.409578
#clusters, noises, rand index
1,35,0.417679
#clusters, noises, rand index
1,35,0.415423
#clusters, noises, rand index
1,35,0.416859
#clusters, noises, rand index
1,35,0.411321
#clusters, noises, rand index
1,35,0.412039
#clusters, noises, rand index
1,35,0.407117
#clusters, noises, rand index
1,35,0.415218
#clusters, noises, rand index
1,35,0.412654
#clusters, noises, rand index
1,35,0.409373
