#clusters, noises, rand index
1,52,0.501009
#clusters, noises, rand index
1,52,0.499339
#clusters, noises, rand index
1,52,0.499339
#clusters, noises, rand index
1,52,0.503794
#clusters, noises, rand index
1,52,0.500035
#clusters, noises, rand index
1,52,0.498782
#clusters, noises, rand index
1,52,0.499339
#clusters, noises, rand index
1,52,0.500035
#clusters, noises, rand index
1,52,0.498921
#clusters, noises, rand index
1,52,0.498921
