#clusters, noises, rand index
2,26,0.407924
#clusters, noises, rand index
2,26,0.413628
#clusters, noises, rand index
2,26,0.412838
#clusters, noises, rand index
2,26,0.415471
#clusters, noises, rand index
2,26,0.455311
#clusters, noises, rand index
2,26,0.416963
#clusters, noises, rand index
2,26,0.423632
#clusters, noises, rand index
2,26,0.402045
#clusters, noises, rand index
2,26,0.419332
#clusters, noises, rand index
2,26,0.40731
