#clusters, noises, rand index
1,24,0.459703
#clusters, noises, rand index
1,24,0.459703
#clusters, noises, rand index
1,24,0.562989
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.562989
#clusters, noises, rand index
1,24,0.459703
#clusters, noises, rand index
1,24,0.504304
#clusters, noises, rand index
1,24,0.504304
#clusters, noises, rand index
1,24,0.5223
#clusters, noises, rand index
1,24,0.473005
