#clusters, noises, rand index
1,255,0.478521
#clusters, noises, rand index
1,255,0.498323
#clusters, noises, rand index
1,255,0.486206
#clusters, noises, rand index
1,255,0.49357
#clusters, noises, rand index
1,255,0.489214
#clusters, noises, rand index
1,255,0.478521
#clusters, noises, rand index
1,255,0.498323
#clusters, noises, rand index
1,255,0.480055
#clusters, noises, rand index
1,255,0.487184
#clusters, noises, rand index
1,255,0.489214
