#clusters, noises, rand index
3,34,0.599642
#clusters, noises, rand index
3,34,0.596242
#clusters, noises, rand index
3,34,0.597852
#clusters, noises, rand index
3,34,0.602953
#clusters, noises, rand index
3,34,0.593915
#clusters, noises, rand index
3,34,0.597942
#clusters, noises, rand index
3,34,0.593557
#clusters, noises, rand index
3,34,0.600179
#clusters, noises, rand index
3,34,0.595884
#clusters, noises, rand index
3,34,0.591857
