#clusters, noises, rand index
2,61,0.264444
#clusters, noises, rand index
2,61,0.252323
#clusters, noises, rand index
2,61,0.247475
#clusters, noises, rand index
2,61,0.245051
#clusters, noises, rand index
2,61,0.266869
#clusters, noises, rand index
2,61,0.246263
#clusters, noises, rand index
2,61,0.264444
#clusters, noises, rand index
2,61,0.232121
#clusters, noises, rand index
2,61,0.25798
#clusters, noises, rand index
2,61,0.252323
