#clusters, noises, rand index
1,24,0.429186
#clusters, noises, rand index
1,24,0.504304
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.447966
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.504304
#clusters, noises, rand index
1,24,0.5223
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.473005
