#MPA, Kmeans, Cmeans
0.059645,0.473373,0.487364
#MPA, Kmeans, Cmeans
0.0692176,0.0786851,0.499356
#MPA, Kmeans, Cmeans
0.0401841,0.473373,0.48568
#MPA, Kmeans, Cmeans
0.0401841,0.473373,0.495253
#MPA, Kmeans, Cmeans
0.307482,0.287916,0.426036
#MPA, Kmeans, Cmeans
0.0401841,0.343774,0.499671
#MPA, Kmeans, Cmeans
0.0401841,0.337988,0.326101
#MPA, Kmeans, Cmeans
0.0692176,0.473373,0.365865
#MPA, Kmeans, Cmeans
0.0401841,0.326101,0.337988
#MPA, Kmeans, Cmeans
0.0692176,0.473373,0.473373
