#MPA, Kmeans, Cmeans
0.5,0.495,0.4998
#MPA, Kmeans, Cmeans
0.5,0.4422,0.4998
#MPA, Kmeans, Cmeans
0.5,0.4998,0.4992
#MPA, Kmeans, Cmeans
0.5,0.4992,0.4998
#MPA, Kmeans, Cmeans
0.5,0.4998,0.4928
#MPA, Kmeans, Cmeans
0.5,0.4992,0.4998
#MPA, Kmeans, Cmeans
0.5,0.2262,0.4998
#MPA, Kmeans, Cmeans
0.5,0.4982,0.4998
#MPA, Kmeans, Cmeans
0.5,0.4998,0.4982
#MPA, Kmeans, Cmeans
0.5,0.5,0.4998
