#MPA, Kmeans, Cmeans
2.14581,1.84701,1.90611
#MPA, Kmeans, Cmeans
1.81314,2.45044,1.74546
#MPA, Kmeans, Cmeans
2.34047,1.99531,2.02265
#MPA, Kmeans, Cmeans
3.71351,1.87077,2.12907
#MPA, Kmeans, Cmeans
3.10177,1.85602,1.71456
#MPA, Kmeans, Cmeans
4.66883,1.92217,1.90684
#MPA, Kmeans, Cmeans
3.39309,1.96881,1.7259
#MPA, Kmeans, Cmeans
2.54407,2.48484,1.7272
#MPA, Kmeans, Cmeans
2.01662,2.27003,1.70665
#MPA, Kmeans, Cmeans
9.96089,2.09283,2.02859
