#MPA, Kmeans, Cmeans
133.812,132.292,121.98
#MPA, Kmeans, Cmeans
138.243,165.374,162.057
#MPA, Kmeans, Cmeans
140.893,135.254,162.733
#MPA, Kmeans, Cmeans
139.809,165.374,130.337
#MPA, Kmeans, Cmeans
140.242,133.163,161.337
#MPA, Kmeans, Cmeans
136.413,132.677,168.521
#MPA, Kmeans, Cmeans
139.252,133.347,143.86
#MPA, Kmeans, Cmeans
138.746,133.163,161.993
#MPA, Kmeans, Cmeans
139.989,131.779,162.66
#MPA, Kmeans, Cmeans
140.432,165.284,162.549
