#step,index
0,0.724116
1,0.712215
2,0.776286
3,0.776286
4,0.776286
5,0.776286
6,0.776286
7,0.776286
8,0.776286
9,0.776286
10,0.776286
11,0.776286
12,0.776286
13,0.776286
14,0.776286
15,0.776286
16,0.776286
17,0.776286
18,0.776286
19,0.776286
20,0.776286
21,0.776286
22,0.776286
23,0.776286
24,0.776286
25,0.763669
26,0.763669
27,0.763669
28,0.763669
29,0.763669
30,0.763669
31,0.763669
32,0.763669
33,0.763669
34,0.763669
35,0.763669
36,0.763669
37,0.763669
38,0.763669
39,0.763669
40,0.763669
41,0.763669
42,0.763669
43,0.763669
44,0.763669
45,0.763669
46,0.763669
47,0.776286
48,0.776286
49,0.776286
50,0.776286
51,0.776286
52,0.776286
53,0.776286
54,0.776286
55,0.776286
56,0.776286
57,0.776286
58,0.776286
59,0.776286
60,0.759821
61,0.759821
62,0.759821
63,0.759821
64,0.759821
65,0.759821
66,0.759821
67,0.759821
68,0.759821
69,0.759821
70,0.759821
71,0.759821
72,0.737897
73,0.737897
74,0.737897
75,0.737897
76,0.737897
77,0.737897
78,0.737897
79,0.737897
80,0.737897
81,0.737897
82,0.737897
83,0.737897
84,0.737897
85,0.737897
86,0.737897
87,0.737897
88,0.737897
89,0.737897
90,0.737897
91,0.737897
92,0.737897
93,0.737897
94,0.737897
95,0.737897
96,0.737897
97,0.737897
98,0.737897
99,0.737897
100,0.737897
101,0.737897
102,0.737897
103,0.737897
104,0.737897
105,0.737897
106,0.737897
107,0.737897
108,0.737897
109,0.737897
110,0.737897
111,0.737897
112,0.737897
113,0.737897
114,0.737897
115,0.737897
116,0.737897
117,0.737897
118,0.737897
119,0.737897
120,0.737897
121,0.737897
122,0.737897
123,0.737897
124,0.737897
125,0.737897
126,0.737897
127,0.737897
128,0.737897
129,0.737897
130,0.737897
131,0.737897
132,0.737897
133,0.737897
134,0.737897
135,0.737897
136,0.737897
137,0.737897
138,0.737897
139,0.737897
140,0.737897
141,0.737897
142,0.737897
143,0.737897
144,0.737897
145,0.737897
146,0.737897
147,0.737897
148,0.737897
149,0.737897
150,0.737897
151,0.737897
152,0.737897
153,0.737897
154,0.737897
155,0.737897
156,0.737897
