#MPA, Kmeans, Cmeans
0.750085,1.13631,1.04397
#MPA, Kmeans, Cmeans
0.736079,1.04579,1.01537
#MPA, Kmeans, Cmeans
0.723754,0.785787,1.04397
#MPA, Kmeans, Cmeans
0.694687,1.13631,0.839674
#MPA, Kmeans, Cmeans
0.708651,1.13631,1.04397
#MPA, Kmeans, Cmeans
0.71757,1.12738,1.04397
#MPA, Kmeans, Cmeans
0.741241,0.968333,0.993328
#MPA, Kmeans, Cmeans
0.685277,1.13631,1.04276
#MPA, Kmeans, Cmeans
0.722023,1.12948,1.03692
#MPA, Kmeans, Cmeans
0.722201,1.05411,1.04397
