#MPA, Kmeans, Cmeans
480.834,471.992,514.611
#MPA, Kmeans, Cmeans
429.711,546.694,495.423
#MPA, Kmeans, Cmeans
421.864,375.878,514.611
#MPA, Kmeans, Cmeans
297.831,471.992,184.301
#MPA, Kmeans, Cmeans
413.674,471.992,514.611
#MPA, Kmeans, Cmeans
431.731,469.563,514.611
#MPA, Kmeans, Cmeans
439.858,601.495,599.71
#MPA, Kmeans, Cmeans
321.048,471.992,514.789
#MPA, Kmeans, Cmeans
464.624,469.884,503.359
#MPA, Kmeans, Cmeans
452.52,337.3,514.611
