#MPA, Kmeans, Cmeans
0.0139609,0.443661,0.441276
#MPA, Kmeans, Cmeans
0.0208672,0.365603,0.419013
#MPA, Kmeans, Cmeans
0.00350876,0.00700517,0.441276
#MPA, Kmeans, Cmeans
0.0104892,0.443661,0.118532
#MPA, Kmeans, Cmeans
0.0139609,0.443661,0.441276
#MPA, Kmeans, Cmeans
0.00350876,0.441276,0.441276
#MPA, Kmeans, Cmeans
0.0104892,0.431244,0.408808
#MPA, Kmeans, Cmeans
0.0139609,0.443661,0.441276
#MPA, Kmeans, Cmeans
0.0139609,0.441276,0.432541
#MPA, Kmeans, Cmeans
0.0139609,0.346762,0.441276
