#MPA, Kmeans, Cmeans
80.3029,83.5208,87.4983
#MPA, Kmeans, Cmeans
62.4342,82.1077,87.8698
#MPA, Kmeans, Cmeans
78.0865,84.8755,86.6519
#MPA, Kmeans, Cmeans
88.3309,53.4848,80.606
#MPA, Kmeans, Cmeans
94.2,89.641,55.8329
#MPA, Kmeans, Cmeans
92.2996,84.8455,55.9545
#MPA, Kmeans, Cmeans
95.6816,53.4848,84.0686
#MPA, Kmeans, Cmeans
76.9286,78.9118,55.0552
#MPA, Kmeans, Cmeans
77.938,24.007,86.1426
#MPA, Kmeans, Cmeans
87.0671,81.621,81.0064
