#MPA, Kmeans, Cmeans
0.806018,0.761344,0.724647
#MPA, Kmeans, Cmeans
0.735928,0.761344,0.758249
#MPA, Kmeans, Cmeans
0.793219,0.775697,0.784504
#MPA, Kmeans, Cmeans
0.669654,0.96491,0.741398
#MPA, Kmeans, Cmeans
0.729607,0.847258,0.720509
#MPA, Kmeans, Cmeans
0.788141,0.847258,0.777763
#MPA, Kmeans, Cmeans
0.71664,0.786597,0.702995
#MPA, Kmeans, Cmeans
0.689705,0.743358,0.93936
#MPA, Kmeans, Cmeans
0.752566,0.761344,0.73991
#MPA, Kmeans, Cmeans
0.694647,0.761344,0.72316
