#MPA, Kmeans, Cmeans
0.701818,0.504848,0.495152
#MPA, Kmeans, Cmeans
0.771515,0.507879,0.511313
#MPA, Kmeans, Cmeans
0.689091,0.502222,0.507879
#MPA, Kmeans, Cmeans
0.642222,0.494949,0.5
#MPA, Kmeans, Cmeans
0.502222,0.519394,0.495152
#MPA, Kmeans, Cmeans
0.511313,0.495758,0.495152
#MPA, Kmeans, Cmeans
0.495758,0.494949,0.5
#MPA, Kmeans, Cmeans
0.701818,0.495152,0.494949
#MPA, Kmeans, Cmeans
0.689091,0.664848,0.496768
#MPA, Kmeans, Cmeans
0.575758,0.495758,0.519394
