#MPA, Kmeans, Cmeans
0.843086,0.346306,0.226683
#MPA, Kmeans, Cmeans
0.338125,0.356628,0.266946
#MPA, Kmeans, Cmeans
-0.995327,0.40047,0.155077
#MPA, Kmeans, Cmeans
0.565179,0.284154,0.262192
#MPA, Kmeans, Cmeans
0.843086,0.41368,0.391935
#MPA, Kmeans, Cmeans
0.189289,0.332492,0.170492
#MPA, Kmeans, Cmeans
-0.710196,0.36241,0.389436
#MPA, Kmeans, Cmeans
-0.995327,0.287194,0.298487
#MPA, Kmeans, Cmeans
-0.990654,0.433888,0.224133
#MPA, Kmeans, Cmeans
-0.995327,0.307421,0.22448
