#clusters, noises, rand index
1,35,0.408963
#clusters, noises, rand index
1,35,0.415013
#clusters, noises, rand index
1,35,0.415833
#clusters, noises, rand index
1,35,0.412654
#clusters, noises, rand index
1,35,0.414295
#clusters, noises, rand index
1,35,0.418602
#clusters, noises, rand index
1,35,0.413988
#clusters, noises, rand index
1,35,0.405681
#clusters, noises, rand index
1,35,0.416449
#clusters, noises, rand index
1,35,0.407322
