#clusters, noises, rand index
2,19,0.507332
#clusters, noises, rand index
2,19,0.509236
#clusters, noises, rand index
2,19,0.511522
#clusters, noises, rand index
2,19,0.507459
#clusters, noises, rand index
2,19,0.511141
#clusters, noises, rand index
2,19,0.511395
#clusters, noises, rand index
2,19,0.514315
#clusters, noises, rand index
2,19,0.504666
#clusters, noises, rand index
2,19,0.511141
#clusters, noises, rand index
2,19,0.507586
