#clusters, noises, rand index
2,26,0.41082
#clusters, noises, rand index
2,26,0.418893
#clusters, noises, rand index
2,26,0.411259
#clusters, noises, rand index
2,26,0.399675
#clusters, noises, rand index
2,26,0.417314
#clusters, noises, rand index
2,26,0.410908
#clusters, noises, rand index
2,26,0.395024
#clusters, noises, rand index
2,26,0.411083
#clusters, noises, rand index
2,26,0.414506
#clusters, noises, rand index
2,26,0.414155
