#clusters, noises, rand index
1,35,0.408347
#clusters, noises, rand index
1,35,0.410296
#clusters, noises, rand index
1,35,0.410706
#clusters, noises, rand index
1,35,0.413988
#clusters, noises, rand index
1,35,0.421371
#clusters, noises, rand index
1,35,0.411014
#clusters, noises, rand index
1,35,0.417782
#clusters, noises, rand index
1,35,0.415526
#clusters, noises, rand index
1,35,0.415116
#clusters, noises, rand index
1,35,0.412449
