#MPA, Kmeans, Cmeans
0.504488,0.566688,0.544096
#MPA, Kmeans, Cmeans
0.512175,0.567562,0.543231
#MPA, Kmeans, Cmeans
0.499646,0.567562,0.542768
#MPA, Kmeans, Cmeans
0.524103,0.567562,0.545963
#MPA, Kmeans, Cmeans
0.509635,0.567562,0.544259
#MPA, Kmeans, Cmeans
0.550223,0.567562,0.543669
#MPA, Kmeans, Cmeans
0.511807,0.567562,0.545081
#MPA, Kmeans, Cmeans
0.736124,0.566688,0.543178
#MPA, Kmeans, Cmeans
1.15986,0.567562,0.545963
#MPA, Kmeans, Cmeans
0.519596,0.567562,0.545963
