#MPA, Kmeans, Cmeans
0.288572,0.17689,0.300955
#MPA, Kmeans, Cmeans
0.297493,0.159843,0.300092
#MPA, Kmeans, Cmeans
0.286845,0.211106,0.300955
#MPA, Kmeans, Cmeans
0.294465,0.216467,0.299785
#MPA, Kmeans, Cmeans
0.297528,0.299367,0.299785
#MPA, Kmeans, Cmeans
0.290555,0.299708,0.206842
#MPA, Kmeans, Cmeans
0.293867,0.231688,0.169547
#MPA, Kmeans, Cmeans
0.297677,0.260356,0.299785
#MPA, Kmeans, Cmeans
0.286431,0.299367,0.299785
#MPA, Kmeans, Cmeans
0.297528,0.18915,0.301637
