#MPA, Kmeans, Cmeans
331.753,295.112,306.981
#MPA, Kmeans, Cmeans
327.948,294.898,307.436
#MPA, Kmeans, Cmeans
335.3,294.898,307.587
#MPA, Kmeans, Cmeans
321.816,294.898,306.065
#MPA, Kmeans, Cmeans
328.743,294.898,306.905
#MPA, Kmeans, Cmeans
307.248,294.898,307.207
#MPA, Kmeans, Cmeans
327.095,294.898,306.565
#MPA, Kmeans, Cmeans
242.702,295.112,307.509
#MPA, Kmeans, Cmeans
129.484,294.898,306.065
#MPA, Kmeans, Cmeans
324.439,294.898,306.065
