#MPA, Kmeans, Cmeans
0.496768,0.567879,0.496768
#MPA, Kmeans, Cmeans
0.494949,0.5,0.540404
#MPA, Kmeans, Cmeans
0.495152,0.553333,0.664848
#MPA, Kmeans, Cmeans
0.498182,0.575758,0.495152
#MPA, Kmeans, Cmeans
0.496768,0.495152,0.529091
#MPA, Kmeans, Cmeans
0.495152,0.515152,0.494949
#MPA, Kmeans, Cmeans
0.498182,0.504848,0.496768
#MPA, Kmeans, Cmeans
0.502222,0.575758,0.496768
#MPA, Kmeans, Cmeans
0.495152,0.494949,0.504848
#MPA, Kmeans, Cmeans
0.495152,0.5,0.529091
