#MPA, Kmeans, Cmeans
0.666667,0.5256,0.655911
#MPA, Kmeans, Cmeans
0.666667,0.666311,0.655911
#MPA, Kmeans, Cmeans
0.666667,0.666311,0.655911
#MPA, Kmeans, Cmeans
0.666667,0.655911,0.655911
#MPA, Kmeans, Cmeans
0.666667,0.666311,0.655911
#MPA, Kmeans, Cmeans
0.666667,0.666311,0.5256
#MPA, Kmeans, Cmeans
0.666667,0.655911,0.666578
#MPA, Kmeans, Cmeans
0.666667,0.5696,0.5256
#MPA, Kmeans, Cmeans
0.666667,0.665244,0.666311
#MPA, Kmeans, Cmeans
0.666667,0.666311,0.5928
