#MPA, Kmeans, Cmeans
0.541257,0.394806,0.386981
#MPA, Kmeans, Cmeans
0.473676,0.384549,0.29802
#MPA, Kmeans, Cmeans
0.541257,0.384549,0.393106
#MPA, Kmeans, Cmeans
0.541257,0.384549,0.396123
#MPA, Kmeans, Cmeans
0.541257,0.388672,0.384969
#MPA, Kmeans, Cmeans
0.541257,0.384549,0.384969
#MPA, Kmeans, Cmeans
0.541257,0.365077,0.386986
#MPA, Kmeans, Cmeans
0.541257,0.384549,0.384969
#MPA, Kmeans, Cmeans
0.512822,0.384549,0.393611
#MPA, Kmeans, Cmeans
0.541257,0.384549,0.39796
