,MPA_mean,MPA_std,Kmeans_mean,Kmeans_std,Cmeans_mean,Cmeans_std,Hierarchical_mean,Dbscan_mean,Dbscan_std
divorce,0.89504,0.13874,0.95378,0.0,0.95378,0.0,0.95378,0.50065,0.00152
iris,0.75324,0.00608,0.76581,0.07333,0.8297,0.07391,0.87374,0.59543,0.00307
wdbc,0.53524,0.0003,0.85052,0.04387,0.8372,0.04231,0.53629,0.48677,0.00561
wine,0.68016,0.10798,0.93187,0.01072,0.95699,0.00949,0.72615,0.5093,0.0024
forests,0.34778,0.03523,0.86828,0.06169,0.83257,0.04778,0.27001,0.40982,0.00304
