,MPA_mean,MPA_std,Kmeans_mean,Kmeans_std,Cmeans_mean,Cmeans_std,Hierarchical_mean,Dbscan_mean,Dbscan_std
divorce,0.95378,0.0,0.95378,0.0,0.95378,0.0,0.95378,0.49995,0.00151
iris,0.76847,0.00181,0.80945,0.07106,0.8219,0.12825,0.87374,0.59568,0.00345
wdbc,0.53255,0.0,0.82162,0.10207,0.85023,0.04091,0.53629,0.48724,0.00367
wine,0.91962,0.08121,0.93387,0.00786,0.92803,0.07797,0.72615,0.51117,0.0032
forests,0.29648,0.01726,0.86317,0.061,0.84261,0.05762,0.27001,0.41366,0.00393
