,MPA_mean,MPA_std,Kmeans_mean,Kmeans_std,Cmeans_mean,Cmeans_std,Hierarchical_mean,Dbscan_mean,Dbscan_std
divorce,0.94369,0.00354,0.95378,0.0,0.95378,0.0,0.95378,0.49976,0.00158
iris,0.86266,0.01229,0.82693,0.07835,0.8285,0.08133,0.87374,0.59436,0.00274
wdbc,0.85394,0.01583,0.82731,0.10377,0.84192,0.08045,0.53629,0.48791,0.00741
wine,0.90377,0.01531,0.8081,0.09588,0.88972,0.11571,0.72615,0.50972,0.00424
forests,0.77825,0.03433,0.7728,0.12255,0.81381,0.05285,0.27001,0.41288,0.00422
