#clusters, noises, rand index
1,24,0.5223
#clusters, noises, rand index
1,24,0.473005
#clusters, noises, rand index
1,24,0.541862
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.541862
#clusters, noises, rand index
1,24,0.504304
#clusters, noises, rand index
1,24,0.473005
#clusters, noises, rand index
1,24,0.437793
#clusters, noises, rand index
1,24,0.487872
#clusters, noises, rand index
1,24,0.5223
