#MPA, Kmeans, Cmeans
0.532081,0.494523,0.532081
#MPA, Kmeans, Cmeans
0.532081,0.502739,0.512128
#MPA, Kmeans, Cmeans
0.532081,0.56964,0.512128
#MPA, Kmeans, Cmeans
0.493349,0.493349,0.532081
#MPA, Kmeans, Cmeans
0.559077,0.56964,0.507042
#MPA, Kmeans, Cmeans
0.532081,0.549296,0.559077
#MPA, Kmeans, Cmeans
0.524648,0.699922,0.682316
#MPA, Kmeans, Cmeans
0.502739,0.493349,0.502739
#MPA, Kmeans, Cmeans
0.549296,0.499218,0.580986
#MPA, Kmeans, Cmeans
0.71831,0.606025,0.606025
