#MPA, Kmeans, Cmeans
0.496528,0.434799,0.496528
#MPA, Kmeans, Cmeans
0.496528,0.475309,0.239198
#MPA, Kmeans, Cmeans
0.490355,0.481096,0.498457
#MPA, Kmeans, Cmeans
0.498457,0.5,0.413194
#MPA, Kmeans, Cmeans
0.498457,0.481096,0.496528
#MPA, Kmeans, Cmeans
0.496528,0.481096,0.498457
#MPA, Kmeans, Cmeans
0.486111,0.486111,0.453318
#MPA, Kmeans, Cmeans
0.498457,0.5,0.486111
#MPA, Kmeans, Cmeans
0.496528,0.360725,0.486111
#MPA, Kmeans, Cmeans
0.481096,0.5,0.5
