#MPA, Kmeans, Cmeans
0.99232,2.18637,1.20446
#MPA, Kmeans, Cmeans
0.94109,1.59906,1.20795
#MPA, Kmeans, Cmeans
0.952457,1.60444,1.20617
#MPA, Kmeans, Cmeans
0.969529,1.26709,1.2062
#MPA, Kmeans, Cmeans
0.93061,1.30933,1.20415
#MPA, Kmeans, Cmeans
0.958119,1.32053,1.60686
#MPA, Kmeans, Cmeans
0.953626,1.19913,1.92234
#MPA, Kmeans, Cmeans
0.932702,1.2823,1.20429
#MPA, Kmeans, Cmeans
0.952502,1.30933,1.20934
#MPA, Kmeans, Cmeans
0.922731,1.83389,1.20871
