#MPA, Kmeans, Cmeans
1.84716,1.36702,1.3054
#MPA, Kmeans, Cmeans
2.06652,1.38937,1.41536
#MPA, Kmeans, Cmeans
2.07683,1.38937,1.27768
#MPA, Kmeans, Cmeans
2.14039,1.38937,1.25128
#MPA, Kmeans, Cmeans
3.10593,1.38937,1.30214
#MPA, Kmeans, Cmeans
1.72123,1.38937,1.35242
#MPA, Kmeans, Cmeans
1.68376,1.38937,1.28307
#MPA, Kmeans, Cmeans
1.99943,1.38899,1.17989
#MPA, Kmeans, Cmeans
1.58848,1.38937,1.26716
#MPA, Kmeans, Cmeans
3.29263,1.4073,1.30224
