#MPA, Kmeans, Cmeans
564.972,688.006,489.249
#MPA, Kmeans, Cmeans
545.609,471.975,161.918
#MPA, Kmeans, Cmeans
544.675,410.712,514.802
#MPA, Kmeans, Cmeans
554.687,426.528,514.362
#MPA, Kmeans, Cmeans
544.144,471.975,311.688
#MPA, Kmeans, Cmeans
557.254,446.536,275.276
#MPA, Kmeans, Cmeans
556.203,395.705,303.521
#MPA, Kmeans, Cmeans
545.508,471.975,514.764
#MPA, Kmeans, Cmeans
553.897,411.179,514.216
#MPA, Kmeans, Cmeans
548.704,289.571,514.193
