#MPA, Kmeans, Cmeans
357.1,442.561,511.868
#MPA, Kmeans, Cmeans
367.131,471.992,600.976
#MPA, Kmeans, Cmeans
322.25,471.992,435.148
#MPA, Kmeans, Cmeans
470.336,472.237,490.24
#MPA, Kmeans, Cmeans
392.117,462.32,514.611
#MPA, Kmeans, Cmeans
326.003,471.992,514.391
#MPA, Kmeans, Cmeans
383.854,492.705,510.765
#MPA, Kmeans, Cmeans
422.038,471.992,514.611
#MPA, Kmeans, Cmeans
471.95,471.992,504.11
#MPA, Kmeans, Cmeans
390.099,471.992,435.533
