#MPA, Kmeans, Cmeans
85.3295,87.7612,91.6679
#MPA, Kmeans, Cmeans
96.6566,87.6166,93.7949
#MPA, Kmeans, Cmeans
96.7755,87.5207,94.1019
#MPA, Kmeans, Cmeans
91.3215,86.5618,93.9248
#MPA, Kmeans, Cmeans
94.3115,87.9733,94.1135
#MPA, Kmeans, Cmeans
90.2637,87.6166,93.9333
#MPA, Kmeans, Cmeans
91.8765,87.6166,59.5974
#MPA, Kmeans, Cmeans
92.7656,87.6166,94.0314
#MPA, Kmeans, Cmeans
96.0477,87.6166,94.2546
#MPA, Kmeans, Cmeans
86.6425,87.9733,94.1055
