#MPA, Kmeans, Cmeans
1.82395,1.13499,1.04594
#MPA, Kmeans, Cmeans
2.10761,1.13767,1.04695
#MPA, Kmeans, Cmeans
1.71215,1.13896,1.00338
#MPA, Kmeans, Cmeans
1.59478,1.14237,1.04628
#MPA, Kmeans, Cmeans
1.67534,1.13767,0.819532
#MPA, Kmeans, Cmeans
1.51129,0.84515,1.04181
#MPA, Kmeans, Cmeans
1.83255,1.13631,1.00694
#MPA, Kmeans, Cmeans
1.89246,1.12927,1.04463
#MPA, Kmeans, Cmeans
1.99283,0.863405,1.05133
#MPA, Kmeans, Cmeans
1.35307,1.13881,1.04613
