#MPA, Kmeans, Cmeans
61.0057,69.3965,73.465
#MPA, Kmeans, Cmeans
61.258,69.6143,67.7199
#MPA, Kmeans, Cmeans
62.0721,69.4072,64.1527
#MPA, Kmeans, Cmeans
61.9109,53.4945,72.7682
#MPA, Kmeans, Cmeans
60.2794,69.2219,73.0674
#MPA, Kmeans, Cmeans
59.2984,69.3939,68.2547
#MPA, Kmeans, Cmeans
57.3887,69.3965,73.5472
#MPA, Kmeans, Cmeans
61.7079,53.3933,74.2977
#MPA, Kmeans, Cmeans
61.3007,69.4697,72.2961
#MPA, Kmeans, Cmeans
60.3855,69.3965,73.7779
