#MPA, Kmeans, Cmeans
32.5661,58.033,56.727
#MPA, Kmeans, Cmeans
33.8883,57.3836,58.6231
#MPA, Kmeans, Cmeans
33.4472,56.7143,60.9581
#MPA, Kmeans, Cmeans
32.7526,56.4478,61.5421
#MPA, Kmeans, Cmeans
32.4793,60.3438,58.1415
#MPA, Kmeans, Cmeans
35.3048,57.3326,57.1339
#MPA, Kmeans, Cmeans
36.2343,51.0423,56.9837
#MPA, Kmeans, Cmeans
32.2026,57.6829,61.1746
#MPA, Kmeans, Cmeans
31.0899,56.9722,58.6871
#MPA, Kmeans, Cmeans
34.3081,58.2534,55.4888
