#MPA, Kmeans, Cmeans
0.306067,0.251176,0.212463
#MPA, Kmeans, Cmeans
-0.909692,0.251176,0.247411
#MPA, Kmeans, Cmeans
-0.842274,0.255204,0.249421
#MPA, Kmeans, Cmeans
-1,0.252282,0.236754
#MPA, Kmeans, Cmeans
0.311206,0.249123,0.255058
#MPA, Kmeans, Cmeans
0.359689,0.251176,0.247411
#MPA, Kmeans, Cmeans
-0.910602,0.251176,0.255769
#MPA, Kmeans, Cmeans
0.42424,0.251176,0.218134
#MPA, Kmeans, Cmeans
-0.935876,0.251176,0.198723
#MPA, Kmeans, Cmeans
0.353587,0.203951,0.246411
