#MPA, Kmeans, Cmeans
-0.00150036,1.12406,1.67497
#MPA, Kmeans, Cmeans
0.000193067,1.0839,1.29556
#MPA, Kmeans, Cmeans
5.70455e-05,0.998822,1.51643
#MPA, Kmeans, Cmeans
0.000157102,1.10762,1.86335
#MPA, Kmeans, Cmeans
-0.0925806,0.972946,1.26828
#MPA, Kmeans, Cmeans
2.41707e-07,1.17094,2.3434
#MPA, Kmeans, Cmeans
0.000337136,1.00059,1.3223
#MPA, Kmeans, Cmeans
0.000251815,1.15388,1.26926
#MPA, Kmeans, Cmeans
1.56938e-08,0.904861,1.72771
#MPA, Kmeans, Cmeans
0.00147411,1.01096,1.35913
