#MPA, Kmeans, Cmeans
0.903764,0.690154,0.962039
#MPA, Kmeans, Cmeans
0.922047,0.716054,0.946677
#MPA, Kmeans, Cmeans
0.878245,0.753952,0.962039
#MPA, Kmeans, Cmeans
0.901352,0.797689,0.933917
#MPA, Kmeans, Cmeans
0.915826,0.927379,0.933917
#MPA, Kmeans, Cmeans
0.892211,0.931823,0.67968
#MPA, Kmeans, Cmeans
0.911065,0.76633,0.662921
#MPA, Kmeans, Cmeans
0.915826,0.85844,0.933917
#MPA, Kmeans, Cmeans
0.881546,0.927379,0.933917
#MPA, Kmeans, Cmeans
0.915826,0.711801,0.9482
