#MPA, Kmeans, Cmeans
680.594,579.86,605.551
#MPA, Kmeans, Cmeans
702.549,487.504,515.881
#MPA, Kmeans, Cmeans
707.649,474.957,514.611
#MPA, Kmeans, Cmeans
699.373,472.237,569.133
#MPA, Kmeans, Cmeans
694.354,472.237,514.362
#MPA, Kmeans, Cmeans
700.678,474.103,516.472
#MPA, Kmeans, Cmeans
705.051,474.345,515.388
#MPA, Kmeans, Cmeans
712.115,474.062,515.812
#MPA, Kmeans, Cmeans
720.228,500.869,514.362
#MPA, Kmeans, Cmeans
699.895,473.169,514.362
