#MPA, Kmeans, Cmeans
0.603504,1.38694,1.28517
#MPA, Kmeans, Cmeans
0.585059,0.697234,1.20381
#MPA, Kmeans, Cmeans
0.531116,1.38694,1.28497
#MPA, Kmeans, Cmeans
0.54013,1.38694,1.02667
#MPA, Kmeans, Cmeans
0.835778,1.20843,1.23524
#MPA, Kmeans, Cmeans
0.539796,1.25363,1.11387
#MPA, Kmeans, Cmeans
0.569446,1.26034,1.1393
#MPA, Kmeans, Cmeans
0.603894,1.38694,1.17952
#MPA, Kmeans, Cmeans
0.532179,1.24128,1.17497
#MPA, Kmeans, Cmeans
0.591579,1.38694,1.27269
