#MPA, Kmeans, Cmeans
0.615573,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.615573,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.615573,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.615573,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.615573,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.613357,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.613357,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.613357,0.616574,0.616574
#MPA, Kmeans, Cmeans
-0.00445354,0.616574,0.616574
#MPA, Kmeans, Cmeans
0.615573,0.616574,0.616574
