#MPA, Kmeans, Cmeans
0.446144,0.251176,0.255817
#MPA, Kmeans, Cmeans
0.445505,0.255805,0.184046
#MPA, Kmeans, Cmeans
0.446144,0.251176,0.207016
#MPA, Kmeans, Cmeans
0.445505,0.189776,0.249187
#MPA, Kmeans, Cmeans
0.445505,0.255912,0.240955
#MPA, Kmeans, Cmeans
0.446144,0.248973,0.195793
#MPA, Kmeans, Cmeans
0.445505,0.251176,0.256451
#MPA, Kmeans, Cmeans
0.446144,0.200385,0.248406
#MPA, Kmeans, Cmeans
0.446144,0.25159,0.248953
#MPA, Kmeans, Cmeans
0.446144,0.251176,0.254877
