#step,index
0,0.878246
1,0.920571
2,0.773338
3,0.773338
4,0.773338
5,0.878246
6,0.878246
7,0.878246
8,0.878246
9,0.878246
10,0.878246
11,0.878246
12,0.909781
13,0.909781
14,0.909781
15,0.909781
16,0.909781
17,0.909781
18,0.909781
19,0.909781
20,0.608423
21,0.608423
22,0.608423
23,0.608423
24,0.608423
25,0.608423
26,0.608423
27,0.89913
28,0.868013
29,0.868013
30,0.868013
31,0.868013
32,0.868013
33,0.868013
34,0.868013
35,0.868013
36,0.868013
37,0.868013
38,0.868013
39,0.868013
40,0.868013
41,0.868013
42,0.868013
43,0.868013
44,0.868013
45,0.868013
46,0.868013
47,0.868013
48,0.878246
49,0.878246
50,0.878246
51,0.878246
52,0.888618
53,0.888618
54,0.888618
55,0.888618
56,0.888618
57,0.888618
58,0.888618
59,0.888618
60,0.888618
61,0.888618
62,0.888618
63,0.888618
64,0.888618
65,0.888618
66,0.888618
67,0.888618
68,0.888618
69,0.888618
70,0.888618
71,0.888618
72,0.888618
73,0.888618
74,0.888618
75,0.888618
76,0.888618
77,0.888618
78,0.888618
79,0.888618
80,0.888618
81,0.888618
82,0.888618
83,0.888618
84,0.888618
85,0.888618
86,0.888618
87,0.888618
88,0.888618
89,0.888618
90,0.888618
91,0.888618
92,0.888618
93,0.888618
94,0.888618
95,0.888618
96,0.888618
97,0.888618
98,0.888618
99,0.888618
100,0.888618
101,0.888618
102,0.888618
103,0.888618
104,0.888618
105,0.888618
106,0.888618
107,0.888618
108,0.888618
109,0.888618
110,0.888618
111,0.888618
112,0.888618
113,0.888618
114,0.888618
115,0.888618
116,0.888618
117,0.888618
118,0.888618
119,0.888618
120,0.888618
121,0.888618
122,0.888618
123,0.888618
124,0.888618
125,0.888618
126,0.888618
127,0.888618
128,0.888618
129,0.888618
130,0.888618
131,0.888618
132,0.888618
133,0.888618
134,0.888618
135,0.888618
136,0.888618
137,0.888618
138,0.888618
139,0.888618
140,0.888618
141,0.888618
142,0.888618
