#step,index
0,1.46437
1,1.55679
2,1.55679
3,1.55679
4,1.55679
5,1.56271
6,1.56271
7,1.54527
8,1.54527
9,1.54527
10,1.54527
11,1.54527
12,1.54527
13,1.54527
14,1.46187
15,1.46187
16,1.27622
17,1.27622
18,1.27622
19,1.27622
20,1.27622
21,1.27622
22,1.27622
23,1.27622
24,1.27622
25,1.27622
26,1.27622
27,1.27622
28,1.27622
29,1.27622
30,1.27622
31,1.27622
32,1.27622
33,1.27622
34,1.27622
35,1.27622
36,1.27622
37,1.27622
38,1.27622
39,1.49244
40,1.49244
41,1.49244
42,1.49375
43,1.49375
44,1.49375
45,1.49375
46,1.1767
47,1.1767
48,1.1767
49,1.1767
50,1.1767
51,1.1767
52,1.1767
53,1.1767
54,1.1767
55,1.1767
56,1.1767
57,1.1767
58,1.1767
59,1.1767
60,1.1767
61,1.1767
62,1.1767
63,1.1767
64,1.1767
65,1.1767
66,1.1767
67,1.1767
68,1.1767
69,1.1767
70,1.1767
71,1.1767
72,1.1767
73,1.1767
74,1.1767
75,1.1767
76,1.1767
77,1.1767
78,1.1767
79,1.1767
80,1.1767
81,1.1767
82,1.1767
83,1.1767
84,1.1767
85,1.1767
86,1.1767
87,1.1767
88,1.1767
89,1.1767
90,1.1767
91,1.1767
92,1.1767
93,1.1767
94,1.1767
95,1.1767
96,1.1767
97,1.1767
98,1.1767
99,1.1767
100,1.1767
101,1.1767
102,1.1767
103,1.1767
104,1.1767
105,1.1767
106,1.1767
107,1.1767
108,1.1767
109,1.1767
110,1.1767
111,1.1767
112,1.1767
113,1.1767
114,1.1767
115,1.1767
116,1.1767
117,1.1767
118,1.1767
119,1.1767
120,1.1767
121,1.1767
122,1.1767
123,1.1767
124,1.1767
125,1.1767
126,1.1767
127,1.1767
128,1.1767
129,1.1767
130,1.1767
131,1.1767
132,1.1767
133,1.1767
134,1.1767
135,1.1767
136,1.1767
137,1.1767
138,1.1767
139,1.1767
140,1.1767
141,1.1767
142,1.1767
143,1.1767
144,1.1767
145,1.1767
146,1.1767
147,1.1767
148,1.1767
149,1.1767
150,1.1767
151,1.1767
152,1.1767
153,1.1767
154,1.1767
155,1.1767
156,1.1767
157,1.1767
158,1.1767
159,1.1767
160,1.1767
161,1.1767
162,1.1767
163,1.1767
164,1.1767
165,1.1767
166,1.1767
167,1.1767
168,1.1767
169,1.1767
170,1.1767
171,1.1767
172,1.1767
173,1.1767
174,1.1767
175,1.1767
176,1.1767
177,1.1767
178,1.1767
179,1.1767
180,1.1767
181,1.1767
182,1.1767
183,1.1767
184,1.1767
185,1.1767
186,1.1767
187,1.1767
188,1.1767
189,1.1767
190,1.1767
191,1.1767
192,1.1767
193,1.1767
194,1.1767
195,1.1767
196,1.1767
197,1.1767
198,1.1767
199,1.1767
200,1.1767
201,1.1767
202,1.1767
203,1.1767
204,1.1767
205,1.1767
206,1.1767
207,1.1767
208,1.1767
209,1.1767
210,1.1767
211,1.1767
212,1.1767
213,1.1767
214,1.1767
215,1.1767
216,1.32886
217,1.32886
218,1.32886
219,1.32886
220,1.32886
221,1.32886
222,1.32886
223,1.32886
224,1.32886
225,1.32886
226,1.32886
227,1.31861
228,1.31861
229,1.31861
230,1.31861
231,1.41264
232,1.41264
233,1.41264
234,1.41264
235,1.41264
236,1.41264
237,1.41264
238,1.41264
239,1.46542
240,1.45987
241,1.45987
242,1.45987
243,1.45987
244,1.45987
245,1.45987
246,1.45987
247,1.45987
248,1.45987
249,1.45987
250,1.45987
251,1.45987
252,1.45987
253,1.45987
254,1.45987
255,1.45987
256,1.45987
257,1.45987
258,1.45987
259,1.45987
260,1.45987
261,1.45987
262,1.45987
263,1.45987
264,1.45987
265,1.45987
266,1.45987
267,1.45987
268,1.45987
269,1.45987
270,1.45987
271,1.45987
272,1.45987
273,1.45987
274,1.45987
275,1.45987
276,1.45987
277,1.45987
278,1.45987
279,1.45987
280,1.45987
281,1.24081
282,1.24081
283,1.24081
284,1.24081
285,1.24081
286,1.24081
287,1.24081
288,1.24081
289,1.24081
290,1.24081
291,1.24081
292,1.24081
293,1.24081
294,1.24081
295,1.24081
296,1.24081
297,1.24081
298,1.24081
299,1.24081
300,1.24081
301,1.24081
302,1.24081
303,1.24081
304,1.24081
305,1.24081
306,1.24081
307,1.24081
308,1.24081
309,1.24081
310,1.24081
311,1.24081
312,1.24081
313,1.24081
314,1.24081
315,1.24081
316,1.24081
317,1.24081
318,1.24081
319,1.24081
320,1.24081
321,1.24081
322,1.24081
323,1.24081
324,1.24081
325,1.24081
326,1.24081
327,1.24081
328,1.24081
329,1.24081
330,1.24081
331,1.24081
332,1.24081
333,1.24081
334,1.24081
335,1.24081
336,1.24081
337,1.24081
338,1.24081
339,1.24081
340,1.24081
341,1.24081
342,1.24081
343,1.24081
344,1.24081
345,1.24081
346,1.24081
347,1.24081
348,1.24081
349,1.24081
350,1.24081
351,1.24081
352,1.24081
353,1.24081
354,1.24081
355,1.24081
356,1.24081
357,1.24081
358,1.24081
359,1.24081
360,1.24081
361,1.24081
362,1.24081
363,1.24081
364,1.24081
365,1.24081
366,1.24081
367,1.24081
368,1.24081
369,1.24081
370,1.24081
371,1.24081
372,1.24081
373,1.24081
374,1.24081
375,1.24081
376,1.24081
377,1.24081
378,1.24081
379,1.24081
380,1.24081
381,1.24081
382,1.24081
383,1.24081
384,1.24081
385,1.24081
386,1.24081
387,1.24081
388,1.24081
389,1.24081
390,1.24081
391,1.24081
392,1.24081
393,1.24081
394,1.24081
395,1.24081
396,1.24081
397,1.24081
398,1.24081
399,1.24081
400,1.24081
401,1.24081
402,1.24081
403,1.24081
404,1.24081
405,1.24081
406,1.35361
407,1.30908
408,1.28953
409,1.23719
410,1.23734
411,1.22983
412,1.22983
413,1.22983
414,1.22983
415,1.22983
416,1.27092
417,1.23182
418,1.23182
419,1.23182
420,1.23182
421,1.23182
422,1.2285
423,1.22781
424,1.24217
425,1.20166
426,1.11116
427,1.12367
428,1.12576
429,1.12576
430,1.1349
431,1.14798
432,1.14478
433,1.12971
434,1.04836
435,1.03965
436,1.05422
437,1.05202
438,1.05202
439,1.05202
